park_placekey,park_name,CITY,LATITUDE,LONGITUDE,area_m2,venues,median_weekly_visits,miles_to_nearest_site,share_amenity,share_booked,share_not_parklike,suspect,screen_1_any_park,screen_2_not_nonpark,screen_3_amenities,kept_by_name,pre_2024,post_2024,pre_2025,post_2025,pct_2024,pct_2025,excess
zzy-226@5z4-vv5-hwk,Central Park,Santa Clarita,34.429,-118.5225,1035283.0,2,545.0,12.07,0.5,0.0,0.5,False,True,False,False,False,753.75,611.5,784.25,660.0,-18.8723,-15.8432,3.0291
zzz-222@5z4-zbd-6x5,Juan Bautista De Anza Park,Calabasas,34.1266,-118.7079,43120.0,1,125.0,19.08,0.0,0.0,0.0,False,False,False,False,False,139.5,145.25,136.25,146.25,4.1219,7.3394,3.2176
24b-222@5z4-zwm-z2k,Venice Beach,Los Angeles,33.9832,-118.4705,646110.0,4,21290.5,6.11,0.25,0.0,0.5,False,True,False,False,False,27983.25,35646.5,27030.25,35425.5,27.3851,31.0587,3.6736
zzz-222@5z5-3mn-nt9,Bristow Park,Commerce,34.0133,-118.1682,45915.0,2,844.5,3.12,0.0,0.0,0.0,False,True,True,False,False,849.25,743.75,920.5,841.75,-12.4227,-8.5551,3.8676
zzz-222@5z5-3m7-zcq,Veterans Memorial Park,Commerce,33.9725,-118.1261,39371.0,1,309.0,4.43,1.0,0.0,0.0,False,False,False,False,False,1609.25,1847.5,1664.0,1975.5,14.805,18.72,3.9149
zzy-222@5z5-3jn-dqf,Whittier Narrows Reservoir,Montebello,34.0346,-118.0508,9829151.0,26,17464.5,4.79,0.1111,0.0741,0.0741,False,True,True,False,False,28762.0,28261.25,28754.0,29422.0,-1.741,2.3232,4.0642
zzz-222@5z6-3ks-nyv,Independence Park,Downey,33.9193,-118.1234,37448.0,3,6745.5,4.15,0.3333,0.0,0.3333,False,True,True,False,False,6841.75,7557.5,6562.0,7516.25,10.4615,14.5421,4.0806
zzz-222@5z6-3q9-92k,Martin Luther King Jr Park,Los Angeles,34.0135,-118.3081,26433.0,3,489.0,3.59,0.6667,0.0,0.6667,False,True,False,False,False,689.75,551.5,639.5,537.5,-20.0435,-15.95,4.0935
zzz-222@5z4-vgw-yvz,Marie Kerr Park,Palmdale,34.6037,-118.1787,311451.0,1,203.0,26.78,1.0,0.0,0.0,False,False,False,False,False,230.75,272.25,228.0,280.25,17.9848,22.9167,4.9318
zzz-222@5z4-z7y-syv,Westlake Village Community Park And Ymca,Westlake Village,34.1585,-118.8003,124516.0,7,351.0,22.85,1.0,0.0,1.0,False,False,False,False,False,373.25,304.0,382.0,330.0,-18.5532,-13.6126,4.9407
zzz-222@5z4-zcy-b49,Victory-Vineland Recreation Center,Los Angeles,34.1872,-118.3729,26231.0,1,111.0,6.69,1.0,0.0,0.0,False,False,False,False,False,129.75,145.75,127.25,149.25,12.3314,17.2888,4.9574
zzz-222@5z5-3ph-xnq,George Izay Park,Burbank,34.1713,-118.3202,63525.0,2,208.0,8.22,1.0,0.0,1.0,False,False,False,False,False,289.25,285.25,272.5,283.75,-1.3829,4.1284,5.5113
zzz-222@5z5-3mh-nbk,Furman Park,Downey,33.9533,-118.1376,58309.0,1,1231.0,5.03,1.0,0.0,0.0,False,False,False,False,False,774.25,959.75,896.75,1163.0,23.9587,29.6905,5.7319
zzz-222@5z4-ztz-fs5,Admiralty Park,Marina Del Rey,33.9839,-118.4455,30424.0,3,736.0,4.68,0.0,0.0,0.0,False,True,True,False,False,672.25,646.5,674.5,689.75,-3.8304,2.2609,6.0914
