PLACEKEY,PARENT_PLACEKEY,SAFEGRAPH_PLACE_ID,STORE_ID,LOCATION_NAME,STREET_ADDRESS,CITY,POSTAL_CODE,WEBSITE,LATITUDE,LONGITUDE,NAICS_CODE,SUB_CATEGORY,WKT_AREA_SQ_METERS,GEOMETRY_TYPE,POLYGON_CLASS,IS_SYNTHETIC,ENCLOSED,INCLUDES_PARKING_LOT,GEOID,nbhd_class,share_in_city,in_city_la,miles_to_raid,nearest_site,veraset_days_2025,mean_visits_2025,mean_daily_visits_pre,mean_daily_visits_post,veraset_days_2024,mean_visits_2024,advan_venues_inside,in_la_parks_geojson,has_polygon,has_visit_data,area_m2,suspect_reason,quality_tier
zzy-222@5z6-3cz-7wk,,sg:6b867934cb8b392a806edb26497ad65d,,Calas Park,Calas Park,Carson,90745,http://calaspark.placeweb.site,33.825978,-118.257358,712190,Nature Parks and Other Similar Institutions,37362,POLYGON,OWNED_POLYGON,False,False,True,06037543903,Other,0.0,False,5.965,Paramount,126,159.20634920634922,166.75,360.6551724137931,56,46.517857142857146,0,True,True,True,37362.0,,clean
zzz-223@5z4-vs4-p7q,,sg:ee839c15cc3e435f97426d3ffda06c34,,Bee Canyon Park,17301 Sesnon Blvd,Los Angeles,91344,,34.307623,-118.509123,712190,Nature Parks and Other Similar Institutions,89913,POLYGON,OWNED_POLYGON,False,False,False,06037106603,Other,0.9998,True,5.325,Pacoima,126,153.34920634920636,166.67857142857142,342.0344827586207,51,38.88235294117647,0,True,True,True,89913.0,,clean
zzz-222@5z5-3w3-66k,,sg:b3b267d5dd12460d9a5743ef5f6195be,,Kelby Park,Kelby Park,Covina,91723,,34.094641,-117.882162,712190,Nature Parks and Other Similar Institutions,23898,POLYGON,OWNED_POLYGON,False,False,True,06037403721,Other,0.0,False,13.096,Whittier,61,218.44262295081967,166.25,273.0689655172414,52,45.34615384615385,0,True,True,True,23898.0,,clean
zzz-222@5z4-zqz-t35,,sg:7be1775f99374ab2b9ba9a420eb16025,,Zuma County Beach,Zuma County Beach,Malibu,90265,,34.021805,-118.831169,712190,Nature Parks and Other Similar Institutions,481114,POLYGON,OWNED_POLYGON,False,False,True,06037800411,Other,0.0,False,26.861,Ladera Heights,116,184.32758620689654,166.1153846153846,460.3448275862069,43,56.46511627906977,10,True,True,True,481114.0,,clean
zzz-222@5z4-z7z-yy9,,sg:2d711093650c49da82da8c32457f763b,,Medea Creek Open Space,Medea Creek Open Space,Agoura Hills,91301,,34.163076,-118.761781,712190,Nature Parks and Other Similar Institutions,170449,POLYGON,OWNED_POLYGON,False,False,False,06037800338,Other,0.0,False,20.686,Pacoima,125,145.48,165.7037037037037,321.51724137931035,57,49.43859649122807,0,True,True,True,170449.0,,clean
zzz-222@5z4-zfp-w49,,sg:6fe76c73a98e45969da21c14b886d05c,,Coldwater Canyon Park,12601 Mulholland Dr,Los Angeles,90069,,34.129064,-118.402043,712190,Nature Parks and Other Similar Institutions,166571,POLYGON,OWNED_POLYGON,False,False,True,06037143901,70+ NL White,1.0,True,8.986,Westlake,126,158.11904761904762,164.53571428571428,379.7931034482759,41,64.41463414634147,1,True,True,True,166571.0,,clean
zzz-222@5z5-3r5-djv,,sg:32774689d9144d6fae54a1f4c9e313b7,,Kings Road Park,Kings Road Park,West Hollywood,90069,,34.089056,-118.371272,712190,Nature Parks and Other Similar Institutions,2395,POLYGON,OWNED_POLYGON,False,False,False,06037700300,70+ NL White,1.0,True,6.119,Westlake,87,113.35632183908046,164.42857142857142,90.96551724137932,25,11.16,0,False,True,True,2395.0,,clean
zzz-222@5z4-zfz-6x5,,sg:ffae550ae4a845d9a10c6c153d46e42c,,Laurel Canyon Mulholland Park,Laurel Canyon Mulholland Park,Los Angeles,90046,,34.122719,-118.375052,712190,Nature Parks and Other Similar Institutions,6918,POLYGON,OWNED_POLYGON,False,False,,06037261103,70+ NL White,1.0,True,7.479,Westlake,91,183.25274725274724,164.42857142857142,373.58620689655174,34,72.11764705882354,0,False,True,True,6918.0,,clean
zzz-222@5z5-3r8-nyv,,sg:3a597865252647f28c1f3d004fdd2179,,Wattles Garden Park,1824 N Curson Ave,Los Angeles,90046,,34.104302,-118.354677,712190,Nature Parks and Other Similar Institutions,192557,POLYGON,OWNED_POLYGON,False,False,,06037194101,70+ NL White,1.0,True,5.784,Westlake,126,156.81746031746033,164.10714285714286,353.1034482758621,49,69.48979591836735,0,True,True,True,192557.0,,clean
zzz-222@5z4-zcm-59f,,sg:1d19425e2744401cafc1aa4957874ce5,,Dearborn Park,17141 Nordhoff St,Northridge,91325,,34.236537,-118.507907,712190,Nature Parks and Other Similar Institutions,36901,POLYGON,OWNED_POLYGON,False,False,False,06037115101,Other,1.0,True,5.369,Pacoima,125,149.168,163.92592592592592,330.8965517241379,47,42.87234042553192,0,True,True,True,36901.0,,clean
zzz-222@5z6-3bv-vpv,,sg:d507771f84f14cd7b0fe7e3845a0af71,,Normandale Recreation Center,22400 Halldale Ave,Torrance,90501,,33.823355,-118.300544,712190,Nature Parks and Other Similar Institutions,33398,POLYGON,OWNED_POLYGON,False,False,True,06037293206,Other,0.9975,True,7.989,Paramount,126,141.1904761904762,163.10714285714286,287.1034482758621,47,59.851063829787236,0,True,True,True,33398.0,,clean
zzz-222@5z5-35k-6p9,,sg:beb6ba74801e4ca5b35b8a70aafaafd7,,Forest Avenue Park,Forest Avenue Park,Arcadia,91006,,34.148819,-118.036036,712190,Nature Parks and Other Similar Institutions,1049,POLYGON,OWNED_POLYGON,False,False,,06037430600,Other,0.0,False,11.697,Cypress Park,120,143.70833333333334,162.96153846153845,301.8965517241379,32,88.1875,0,False,True,True,1049.0,under 0.2 ha: a park fragment or a point feature,suspect
zzz-222@5z4-rnj-yqf,,sg:6dc200b69ec44005ae0896efef9fac63,,Washington Park,865 E Grand Ave,Pomona,91766,,34.048405,-117.738291,712190,Nature Parks and Other Similar Institutions,88741,POLYGON,OWNED_POLYGON,False,False,True,06037402804,70+ Latino,0.0,False,18.719,Whittier,126,133.5079365079365,162.78571428571428,285.58620689655174,41,30.634146341463413,1,True,True,True,88741.0,,clean
zzz-222@5z4-rgx-49z,,sg:15216d3d9ffa42c790abf7b6eb4ae051,,Pat Nixon Fountain And Park,Pat Nixon Fountain And Park,Whittier,90605,,33.961562,-118.002311,712190,Nature Parks and Other Similar Institutions,1773,POLYGON,OWNED_POLYGON,False,False,,06037500202,Other,0.0,False,2.708,Whittier,126,155.42857142857142,162.35714285714286,365.55172413793105,32,95.40625,0,False,True,True,1773.0,under 0.2 ha: a park fragment or a point feature,suspect
zzz-222@5z4-ztv-nyv,,sg:174d2814ad0d463db779c79922a1f710,,Palms Recreation Center,2950 Overland Ave,Los Angeles,90064,http://www.BMXsociety.com/,34.033067,-118.417557,712190,Nature Parks and Other Similar Institutions,19462,POLYGON,OWNED_POLYGON,False,False,True,06037269300,70+ NL White,1.0,True,4.357,Ladera Heights,126,135.66666666666666,161.82142857142858,279.1034482758621,36,111.27777777777777,0,False,True,True,19462.0,,clean
zzz-222@5z5-3r7-9j9,,sg:95a04a5298f344ecb8bbbfad3384d1b0,,Seily Rodriguez Park,5707 Lexington Ave,Los Angeles,90038,,34.093066,-118.313934,712190,Nature Parks and Other Similar Institutions,1394,POLYGON,OWNED_POLYGON,False,False,,06037190901,70+ Latino,1.0,True,3.503,Westlake,125,133.784,161.74074074074073,284.82758620689657,54,47.68518518518518,0,False,True,True,1394.0,under 0.2 ha: a park fragment or a point feature,suspect
zzz-222@5z6-3ps-y5f,,sg:3817bbf47bb8423d8ebed220755d94b3,,Watts Senior Citizen Center,1657 E Century Blvd,Los Angeles,90002,,33.946419,-118.243849,712190,Nature Parks and Other Similar Institutions,5247,POLYGON,OWNED_POLYGON,False,False,True,06037242300,70+ Latino,0.9838,True,3.404,Huntington Park,126,145.92857142857142,161.17857142857142,307.17241379310343,57,118.78947368421052,0,False,True,True,5247.0,,clean
zzz-222@5z4-rnn-9s5,,sg:6e0774ca0e9f46fa9c375ce8129b7241,,Ralph Welch Park,1000 Buena Vista St,Pomona,91766,,34.050062,-117.766364,712190,Nature Parks and Other Similar Institutions,33272,POLYGON,OWNED_POLYGON,False,False,,06037402503,70+ Latino,0.0,False,17.234,Whittier,125,133.456,160.92592592592592,259.6896551724138,57,28.49122807017544,0,True,True,True,33272.0,,clean
zzz-222@5z6-3nd-d5f,,sg:e6b47622240a490ba4c186c8f74b7fed,,Cherry Cove Park,Cherry Cove Park,Lakewood,90712,,33.850203,-118.165695,712190,Nature Parks and Other Similar Institutions,11990,POLYGON,OWNED_POLYGON,False,False,,06037570703,Other,0.0,False,2.852,Paramount,124,137.13709677419354,160.37037037037038,297.6551724137931,50,29.54,0,False,True,True,11990.0,,clean
zzz-222@5z4-zhm-brk,,sg:5c99dad84a824868818e917452a10ba9,,Northridge Recreation Center,10058 Reseda Blvd,Northridge,91324,http://www.laparks.org,34.253163,-118.535362,712190,Nature Parks and Other Similar Institutions,97201,POLYGON,OWNED_POLYGON,False,False,True,06037111205,Other,1.0,True,6.441,Pacoima,125,147.56,159.96296296296296,322.41379310344826,52,58.09615384615385,1,True,True,True,97201.0,,clean
zzz-222@5z6-3m6-rhq,,sg:0e7f6209efff407aaf1917cf532c1c62,,Cerritos Park East,Cerritos Park East,Cerritos,90703,,33.878645,-118.049791,712190,Nature Parks and Other Similar Institutions,100066,POLYGON,OWNED_POLYGON,False,False,True,06037554512,Other,0.0,False,5.988,Whittier,125,150.704,159.07142857142858,359.6551724137931,54,50.55555555555556,2,True,True,True,100066.0,,clean
zzz-222@5z5-3t8-mp9,,sg:ccadc40f7b63438c802c7a9978b0bfcf,,Rancho Park,1357 N Macneil Dr,Azusa,91702,,34.145987,-117.890432,712190,Nature Parks and Other Similar Institutions,4287,POLYGON,OWNED_POLYGON,False,False,,06037400605,Other,0.0,False,15.447,Whittier,125,117.544,158.4814814814815,195.6551724137931,42,24.30952380952381,0,False,True,True,4287.0,,clean
zzy-223@5z4-zxj-jn5,,sg:c9fce5b83d2b34dda05d5f9e8882baeb,,Santa Monica Pier CA,Santa Monica Pier CA,Los Angeles,90045,http://www.santamonicapier.org/,33.946062,-118.38151,712190,Nature Parks and Other Similar Institutions,9730,POLYGON,OWNED_POLYGON,False,False,False,06037277200,Other,0.9945,True,3.089,Ladera Heights,25,171.36,158.45454545454547,,0,,0,False,True,True,9730.0,,clean
zzz-222@5z5-3r3-k9f,,sg:3d805d06c5b24d00a602f749ab7f6c1b,,Hollywood Recreation Center,1122 Cole Ave,Los Angeles,90038,https://www.laparks.org/reccenter/hollywood,34.091567,-118.329208,712190,Nature Parks and Other Similar Institutions,12613,POLYGON,OWNED_POLYGON,False,False,,06037190802,Other,1.0,True,4.088,Westlake,125,106.016,158.37037037037038,184.75862068965517,35,55.25714285714286,0,False,True,True,12613.0,,clean
zzz-222@5z4-zfp-y9z,,sg:ffaee885a202496c8935ab1a5db9d0cb,,Wilacre Park,Wilacre Park,Los Angeles,90069,,34.134696,-118.401809,712190,Nature Parks and Other Similar Institutions,508693,POLYGON,OWNED_POLYGON,False,False,True,06037143901,70+ NL White,1.0,True,9.199,Westlake,126,131.53968253968253,157.82142857142858,277.17241379310343,42,34.61904761904762,0,True,True,True,508693.0,,clean
zzz-222@5z4-zvh-rp9,,sg:05bf076156854061a15cdcc864244519,,Westwood Park,1350 S Sepulveda Blvd,Los Angeles,90025,,34.05346,-118.448344,712190,Nature Parks and Other Similar Institutions,108033,POLYGON,OWNED_POLYGON,False,False,True,06037265524,Other,1.0,True,6.604,Ladera Heights,126,167.0952380952381,157.57142857142858,279.51724137931035,50,96.7,0,True,True,True,108033.0,,clean
